"","areaName","year","month","asking_price"
"1","Financial District","2010",1,3198
"2","Financial District","2010",2,3100
"3","Financial District","2010",3,3015
"4","Financial District","2010",4,3000
"5","Financial District","2010",5,3200
"6","Financial District","2010",6,3244
"7","Financial District","2010",7,3107
"8","Financial District","2010",8,3100
"9","Financial District","2010",9,3025
"10","Financial District","2010",10,3250
"11","Financial District","2010",11,3250
"12","Financial District","2010",12,3215
"13","Financial District","2011",1,3300
"14","Financial District","2011",2,3400
"15","Financial District","2011",3,3395
"16","Financial District","2011",4,3250
"17","Financial District","2011",5,3325
"18","Financial District","2011",6,3480
"19","Financial District","2011",7,3500
"20","Financial District","2011",8,3500
"21","Financial District","2011",9,3595
"22","Financial District","2011",10,3595
"23","Financial District","2011",11,3488
"24","Financial District","2011",12,3400
"25","Financial District","2012",1,3450
"26","Financial District","2012",2,3400
"27","Financial District","2012",3,3375
"28","Financial District","2012",4,3500
"29","Financial District","2012",5,3450
"30","Financial District","2012",6,3500
"31","Financial District","2012",7,3675
"32","Financial District","2012",8,3600
"33","Financial District","2012",9,3700
"34","Financial District","2012",10,3650
"35","Financial District","2012",11,3900
"36","Financial District","2012",12,3664
"37","Financial District","2013",1,3500
"38","Financial District","2013",2,3415
"39","Financial District","2013",3,3350
"40","Financial District","2013",4,3350
"41","Financial District","2013",5,3395
"42","Financial District","2013",6,3450
"43","Financial District","2013",7,3500
"44","Financial District","2013",8,3550
"45","Financial District","2013",9,3548
"46","Financial District","2013",10,3550
"47","Financial District","2013",11,3509
"48","Financial District","2013",12,3500
"49","Financial District","2014",1,3500
"50","Financial District","2014",2,3495
"51","Financial District","2014",3,3495
"52","Financial District","2014",4,3500
"53","Financial District","2014",5,3550
"54","Financial District","2014",6,3550
"55","Financial District","2014",7,3500
"56","Financial District","2014",8,3500
"57","Financial District","2014",9,3600
"58","Financial District","2014",10,3589
"59","Financial District","2014",11,3500
"60","Financial District","2014",12,3500
"61","Financial District","2015",1,3499
"62","Financial District","2015",2,3618
"63","Financial District","2015",3,3595
"64","Financial District","2015",4,3605
"65","Financial District","2015",5,3695
"66","Financial District","2015",6,3670
"67","Financial District","2015",7,3700
"68","Financial District","2015",8,3650
"69","Financial District","2015",9,3695
"70","Financial District","2015",10,3654
"71","Financial District","2015",11,3550
"72","Financial District","2015",12,3530
"73","Financial District","2016",1,3500
"74","Financial District","2016",2,3523
"75","Financial District","2016",3,3550
"76","Financial District","2016",4,3595
"77","Financial District","2016",5,3600
"78","Financial District","2016",6,3650
"79","Financial District","2016",7,3700
"80","Financial District","2016",8,3625
"81","Financial District","2016",9,3663
"82","Financial District","2016",10,3646
"83","Financial District","2016",11,3500
"84","Financial District","2016",12,3484
"85","Financial District","2017",1,3450
"86","Financial District","2017",2,3475
"87","Financial District","2017",3,3565
"88","Financial District","2017",4,3595
"89","Financial District","2017",5,3650
"90","Financial District","2017",6,3612
"91","Financial District","2017",7,3780
"92","Financial District","2017",8,3750
"93","Financial District","2017",9,3700
"94","Financial District","2017",10,3620
"95","Financial District","2017",11,3654
"96","Financial District","2017",12,3650
"97","Financial District","2018",1,3591
"98","Financial District","2018",2,3743
"99","Financial District","2018",3,3595
"100","Financial District","2018",4,3595
"101","Financial District","2018",5,3600
"102","Financial District","2018",6,3650
"103","Financial District","2018",7,3750
"104","Financial District","2018",8,3810
"105","Financial District","2018",9,3810
"106","Financial District","2018",10,3831
