"","areaName","year","month","units"
"1","Chelsea","2010",1,605
"2","Chelsea","2010",2,658
"3","Chelsea","2010",3,678
"4","Chelsea","2010",4,666
"5","Chelsea","2010",5,599
"6","Chelsea","2010",6,607
"7","Chelsea","2010",7,624
"8","Chelsea","2010",8,570
"9","Chelsea","2010",9,494
"10","Chelsea","2010",10,503
"11","Chelsea","2010",11,444
"12","Chelsea","2010",12,390
"13","Chelsea","2011",1,417
"14","Chelsea","2011",2,415
"15","Chelsea","2011",3,469
"16","Chelsea","2011",4,407
"17","Chelsea","2011",5,458
"18","Chelsea","2011",6,457
"19","Chelsea","2011",7,457
"20","Chelsea","2011",8,496
"21","Chelsea","2011",9,465
"22","Chelsea","2011",10,453
"23","Chelsea","2011",11,449
"24","Chelsea","2011",12,399
"25","Chelsea","2012",1,419
"26","Chelsea","2012",2,427
"27","Chelsea","2012",3,509
"28","Chelsea","2012",4,534
"29","Chelsea","2012",5,595
"30","Chelsea","2012",6,646
"31","Chelsea","2012",7,626
"32","Chelsea","2012",8,578
"33","Chelsea","2012",9,551
"34","Chelsea","2012",10,537
"35","Chelsea","2012",11,498
"36","Chelsea","2012",12,509
"37","Chelsea","2013",1,619
"38","Chelsea","2013",2,623
"39","Chelsea","2013",3,744
"40","Chelsea","2013",4,847
"41","Chelsea","2013",5,768
"42","Chelsea","2013",6,702
"43","Chelsea","2013",7,710
"44","Chelsea","2013",8,687
"45","Chelsea","2013",9,686
"46","Chelsea","2013",10,696
"47","Chelsea","2013",11,643
"48","Chelsea","2013",12,703
"49","Chelsea","2014",1,768
"50","Chelsea","2014",2,762
"51","Chelsea","2014",3,843
"52","Chelsea","2014",4,873
"53","Chelsea","2014",5,886
"54","Chelsea","2014",6,921
"55","Chelsea","2014",7,1019
"56","Chelsea","2014",8,971
"57","Chelsea","2014",9,954
"58","Chelsea","2014",10,943
"59","Chelsea","2014",11,875
"60","Chelsea","2014",12,902
"61","Chelsea","2015",1,944
"62","Chelsea","2015",2,909
"63","Chelsea","2015",3,954
"64","Chelsea","2015",4,1008
"65","Chelsea","2015",5,1046
"66","Chelsea","2015",6,1081
"67","Chelsea","2015",7,1087
"68","Chelsea","2015",8,995
"69","Chelsea","2015",9,941
"70","Chelsea","2015",10,974
"71","Chelsea","2015",11,879
"72","Chelsea","2015",12,833
"73","Chelsea","2016",1,849
"74","Chelsea","2016",2,901
"75","Chelsea","2016",3,994
"76","Chelsea","2016",4,945
"77","Chelsea","2016",5,947
"78","Chelsea","2016",6,1037
"79","Chelsea","2016",7,1147
"80","Chelsea","2016",8,1156
"81","Chelsea","2016",9,1104
"82","Chelsea","2016",10,1052
"83","Chelsea","2016",11,1011
"84","Chelsea","2016",12,959
"85","Chelsea","2017",1,1037
"86","Chelsea","2017",2,1017
"87","Chelsea","2017",3,1084
"88","Chelsea","2017",4,1017
"89","Chelsea","2017",5,1142
"90","Chelsea","2017",6,1220
"91","Chelsea","2017",7,1189
"92","Chelsea","2017",8,1068
"93","Chelsea","2017",9,1035
"94","Chelsea","2017",10,978
"95","Chelsea","2017",11,917
"96","Chelsea","2017",12,834
"97","Chelsea","2018",1,882
"98","Chelsea","2018",2,805
"99","Chelsea","2018",3,863
"100","Chelsea","2018",4,906
"101","Chelsea","2018",5,984
"102","Chelsea","2018",6,1024
"103","Chelsea","2018",7,1029
"104","Chelsea","2018",8,989
"105","Chelsea","2018",9,816
"106","Chelsea","2018",10,804
