"","areaName","year","month","asking_price"
"1","Chelsea","2010",1,3200
"2","Chelsea","2010",2,3400
"3","Chelsea","2010",3,3245
"4","Chelsea","2010",4,3200
"5","Chelsea","2010",5,3200
"6","Chelsea","2010",6,3395
"7","Chelsea","2010",7,3400
"8","Chelsea","2010",8,3450
"9","Chelsea","2010",9,3625
"10","Chelsea","2010",10,3600
"11","Chelsea","2010",11,3500
"12","Chelsea","2010",12,3320
"13","Chelsea","2011",1,3295
"14","Chelsea","2011",2,3295
"15","Chelsea","2011",3,3400
"16","Chelsea","2011",4,3450
"17","Chelsea","2011",5,3450
"18","Chelsea","2011",6,3480
"19","Chelsea","2011",7,3500
"20","Chelsea","2011",8,3473
"21","Chelsea","2011",9,3600
"22","Chelsea","2011",10,3800
"23","Chelsea","2011",11,3650
"24","Chelsea","2011",12,3500
"25","Chelsea","2012",1,3400
"26","Chelsea","2012",2,3500
"27","Chelsea","2012",3,3600
"28","Chelsea","2012",4,3600
"29","Chelsea","2012",5,3795
"30","Chelsea","2012",6,3800
"31","Chelsea","2012",7,3600
"32","Chelsea","2012",8,3600
"33","Chelsea","2012",9,3700
"34","Chelsea","2012",10,3500
"35","Chelsea","2012",11,3695
"36","Chelsea","2012",12,3715
"37","Chelsea","2013",1,3650
"38","Chelsea","2013",2,3695
"39","Chelsea","2013",3,3600
"40","Chelsea","2013",4,3725
"41","Chelsea","2013",5,3743
"42","Chelsea","2013",6,3695
"43","Chelsea","2013",7,3695
"44","Chelsea","2013",8,3750
"45","Chelsea","2013",9,3894
"46","Chelsea","2013",10,3876
"47","Chelsea","2013",11,3650
"48","Chelsea","2013",12,3795
"49","Chelsea","2014",1,3695
"50","Chelsea","2014",2,3695
"51","Chelsea","2014",3,3745
"52","Chelsea","2014",4,3725
"53","Chelsea","2014",5,3750
"54","Chelsea","2014",6,3745
"55","Chelsea","2014",7,3750
"56","Chelsea","2014",8,3750
"57","Chelsea","2014",9,3795
"58","Chelsea","2014",10,3750
"59","Chelsea","2014",11,3750
"60","Chelsea","2014",12,3800
"61","Chelsea","2015",1,3795
"62","Chelsea","2015",2,3750
"63","Chelsea","2015",3,3800
"64","Chelsea","2015",4,3950
"65","Chelsea","2015",5,3950
"66","Chelsea","2015",6,3995
"67","Chelsea","2015",7,4075
"68","Chelsea","2015",8,4025
"69","Chelsea","2015",9,4000
"70","Chelsea","2015",10,4100
"71","Chelsea","2015",11,3875
"72","Chelsea","2015",12,3895
"73","Chelsea","2016",1,3860
"74","Chelsea","2016",2,3850
"75","Chelsea","2016",3,3860
"76","Chelsea","2016",4,3950
"77","Chelsea","2016",5,4100
"78","Chelsea","2016",6,4195
"79","Chelsea","2016",7,4050
"80","Chelsea","2016",8,3995
"81","Chelsea","2016",9,3995
"82","Chelsea","2016",10,4000
"83","Chelsea","2016",11,3995
"84","Chelsea","2016",12,3921
"85","Chelsea","2017",1,3895
"86","Chelsea","2017",2,3950
"87","Chelsea","2017",3,3920
"88","Chelsea","2017",4,3910
"89","Chelsea","2017",5,3950
"90","Chelsea","2017",6,3900
"91","Chelsea","2017",7,3900
"92","Chelsea","2017",8,3800
"93","Chelsea","2017",9,3845
"94","Chelsea","2017",10,3940
"95","Chelsea","2017",11,3950
"96","Chelsea","2017",12,3910
"97","Chelsea","2018",1,3945
"98","Chelsea","2018",2,4000
"99","Chelsea","2018",3,4000
"100","Chelsea","2018",4,3995
"101","Chelsea","2018",5,3998
"102","Chelsea","2018",6,4010
"103","Chelsea","2018",7,4000
"104","Chelsea","2018",8,4100
"105","Chelsea","2018",9,4163
"106","Chelsea","2018",10,4137
