"","areaName","year","month","units"
"1","All Downtown","2010",1,4240
"2","All Downtown","2010",2,4490
"3","All Downtown","2010",3,4564
"4","All Downtown","2010",4,4668
"5","All Downtown","2010",5,4479
"6","All Downtown","2010",6,4574
"7","All Downtown","2010",7,4255
"8","All Downtown","2010",8,4037
"9","All Downtown","2010",9,3430
"10","All Downtown","2010",10,3293
"11","All Downtown","2010",11,3256
"12","All Downtown","2010",12,3169
"13","All Downtown","2011",1,3395
"14","All Downtown","2011",2,3245
"15","All Downtown","2011",3,3600
"16","All Downtown","2011",4,3587
"17","All Downtown","2011",5,3801
"18","All Downtown","2011",6,4143
"19","All Downtown","2011",7,4191
"20","All Downtown","2011",8,4184
"21","All Downtown","2011",9,3584
"22","All Downtown","2011",10,3473
"23","All Downtown","2011",11,3505
"24","All Downtown","2011",12,3365
"25","All Downtown","2012",1,3710
"26","All Downtown","2012",2,3691
"27","All Downtown","2012",3,4071
"28","All Downtown","2012",4,4259
"29","All Downtown","2012",5,4765
"30","All Downtown","2012",6,4949
"31","All Downtown","2012",7,5366
"32","All Downtown","2012",8,5091
"33","All Downtown","2012",9,4432
"34","All Downtown","2012",10,4395
"35","All Downtown","2012",11,4158
"36","All Downtown","2012",12,4120
"37","All Downtown","2013",1,4777
"38","All Downtown","2013",2,4939
"39","All Downtown","2013",3,5339
"40","All Downtown","2013",4,5953
"41","All Downtown","2013",5,6169
"42","All Downtown","2013",6,6166
"43","All Downtown","2013",7,6598
"44","All Downtown","2013",8,6550
"45","All Downtown","2013",9,6030
"46","All Downtown","2013",10,6406
"47","All Downtown","2013",11,5745
"48","All Downtown","2013",12,5432
"49","All Downtown","2014",1,5704
"50","All Downtown","2014",2,5913
"51","All Downtown","2014",3,6715
"52","All Downtown","2014",4,7619
"53","All Downtown","2014",5,8222
"54","All Downtown","2014",6,7823
"55","All Downtown","2014",7,7529
"56","All Downtown","2014",8,7364
"57","All Downtown","2014",9,6859
"58","All Downtown","2014",10,6457
"59","All Downtown","2014",11,5897
"60","All Downtown","2014",12,5814
"61","All Downtown","2015",1,6205
"62","All Downtown","2015",2,5802
"63","All Downtown","2015",3,6640
"64","All Downtown","2015",4,7089
"65","All Downtown","2015",5,7746
"66","All Downtown","2015",6,8290
"67","All Downtown","2015",7,8518
"68","All Downtown","2015",8,7922
"69","All Downtown","2015",9,6828
"70","All Downtown","2015",10,6643
"71","All Downtown","2015",11,5953
"72","All Downtown","2015",12,5812
"73","All Downtown","2016",1,6191
"74","All Downtown","2016",2,6436
"75","All Downtown","2016",3,6889
"76","All Downtown","2016",4,7251
"77","All Downtown","2016",5,7625
"78","All Downtown","2016",6,8061
"79","All Downtown","2016",7,8313
"80","All Downtown","2016",8,8529
"81","All Downtown","2016",9,7579
"82","All Downtown","2016",10,7274
"83","All Downtown","2016",11,6954
"84","All Downtown","2016",12,6439
"85","All Downtown","2017",1,7023
"86","All Downtown","2017",2,6804
"87","All Downtown","2017",3,7589
"88","All Downtown","2017",4,7837
"89","All Downtown","2017",5,8745
"90","All Downtown","2017",6,9266
"91","All Downtown","2017",7,9168
"92","All Downtown","2017",8,8077
"93","All Downtown","2017",9,7175
"94","All Downtown","2017",10,6791
"95","All Downtown","2017",11,5978
"96","All Downtown","2017",12,5424
"97","All Downtown","2018",1,5845
"98","All Downtown","2018",2,5538
"99","All Downtown","2018",3,6029
"100","All Downtown","2018",4,6742
"101","All Downtown","2018",5,7474
"102","All Downtown","2018",6,7761
"103","All Downtown","2018",7,8152
"104","All Downtown","2018",8,7682
"105","All Downtown","2018",9,6110
"106","All Downtown","2018",10,5877
