"","areaName","year","month","asking_price"
"1","East Village","2010",1,2500
"2","East Village","2010",2,2500
"3","East Village","2010",3,2400
"4","East Village","2010",4,2500
"5","East Village","2010",5,2595
"6","East Village","2010",6,2595
"7","East Village","2010",7,2600
"8","East Village","2010",8,2595
"9","East Village","2010",9,2695
"10","East Village","2010",10,2795
"11","East Village","2010",11,2698
"12","East Village","2010",12,2700
"13","East Village","2011",1,2700
"14","East Village","2011",2,2600
"15","East Village","2011",3,2695
"16","East Village","2011",4,2750
"17","East Village","2011",5,2900
"18","East Village","2011",6,2875
"19","East Village","2011",7,2800
"20","East Village","2011",8,2900
"21","East Village","2011",9,3295
"22","East Village","2011",10,2950
"23","East Village","2011",11,2900
"24","East Village","2011",12,2900
"25","East Village","2012",1,2995
"26","East Village","2012",2,2850
"27","East Village","2012",3,2885
"28","East Village","2012",4,2998
"29","East Village","2012",5,3000
"30","East Village","2012",6,3000
"31","East Village","2012",7,3000
"32","East Village","2012",8,3000
"33","East Village","2012",9,2995
"34","East Village","2012",10,3000
"35","East Village","2012",11,3000
"36","East Village","2012",12,3000
"37","East Village","2013",1,3100
"38","East Village","2013",2,3095
"39","East Village","2013",3,3025
"40","East Village","2013",4,3100
"41","East Village","2013",5,3100
"42","East Village","2013",6,3190
"43","East Village","2013",7,3162
"44","East Village","2013",8,3250
"45","East Village","2013",9,3250
"46","East Village","2013",10,3100
"47","East Village","2013",11,3100
"48","East Village","2013",12,3000
"49","East Village","2014",1,3000
"50","East Village","2014",2,3000
"51","East Village","2014",3,3000
"52","East Village","2014",4,3000
"53","East Village","2014",5,3200
"54","East Village","2014",6,3163
"55","East Village","2014",7,3200
"56","East Village","2014",8,3295
"57","East Village","2014",9,3200
"58","East Village","2014",10,3150
"59","East Village","2014",11,3100
"60","East Village","2014",12,3100
"61","East Village","2015",1,3000
"62","East Village","2015",2,2900
"63","East Village","2015",3,2950
"64","East Village","2015",4,3100
"65","East Village","2015",5,3115
"66","East Village","2015",6,3150
"67","East Village","2015",7,3200
"68","East Village","2015",8,3200
"69","East Village","2015",9,3173
"70","East Village","2015",10,3150
"71","East Village","2015",11,3095
"72","East Village","2015",12,3100
"73","East Village","2016",1,3100
"74","East Village","2016",2,3077
"75","East Village","2016",3,3200
"76","East Village","2016",4,3250
"77","East Village","2016",5,3300
"78","East Village","2016",6,3300
"79","East Village","2016",7,3299
"80","East Village","2016",8,3200
"81","East Village","2016",9,3148
"82","East Village","2016",10,3100
"83","East Village","2016",11,3100
"84","East Village","2016",12,3000
"85","East Village","2017",1,3000
"86","East Village","2017",2,3195
"87","East Village","2017",3,3190
"88","East Village","2017",4,3350
"89","East Village","2017",5,3350
"90","East Village","2017",6,3277
"91","East Village","2017",7,3250
"92","East Village","2017",8,3200
"93","East Village","2017",9,3000
"94","East Village","2017",10,3000
"95","East Village","2017",11,2900
"96","East Village","2017",12,2931
"97","East Village","2018",1,2995
"98","East Village","2018",2,3013
"99","East Village","2018",3,3050
"100","East Village","2018",4,3295
"101","East Village","2018",5,3455
"102","East Village","2018",6,3400
"103","East Village","2018",7,3350
"104","East Village","2018",8,3395
"105","East Village","2018",9,3295
"106","East Village","2018",10,3204
