"","areaName","year","month","units"
"1","East Village","2010",1,457
"2","East Village","2010",2,486
"3","East Village","2010",3,537
"4","East Village","2010",4,539
"5","East Village","2010",5,562
"6","East Village","2010",6,566
"7","East Village","2010",7,499
"8","East Village","2010",8,422
"9","East Village","2010",9,343
"10","East Village","2010",10,321
"11","East Village","2010",11,332
"12","East Village","2010",12,312
"13","East Village","2011",1,329
"14","East Village","2011",2,310
"15","East Village","2011",3,341
"16","East Village","2011",4,402
"17","East Village","2011",5,444
"18","East Village","2011",6,502
"19","East Village","2011",7,499
"20","East Village","2011",8,497
"21","East Village","2011",9,383
"22","East Village","2011",10,379
"23","East Village","2011",11,354
"24","East Village","2011",12,350
"25","East Village","2012",1,386
"26","East Village","2012",2,420
"27","East Village","2012",3,470
"28","East Village","2012",4,560
"29","East Village","2012",5,616
"30","East Village","2012",6,691
"31","East Village","2012",7,873
"32","East Village","2012",8,774
"33","East Village","2012",9,600
"34","East Village","2012",10,561
"35","East Village","2012",11,555
"36","East Village","2012",12,514
"37","East Village","2013",1,590
"38","East Village","2013",2,578
"39","East Village","2013",3,566
"40","East Village","2013",4,729
"41","East Village","2013",5,869
"42","East Village","2013",6,1021
"43","East Village","2013",7,1074
"44","East Village","2013",8,1150
"45","East Village","2013",9,950
"46","East Village","2013",10,841
"47","East Village","2013",11,689
"48","East Village","2013",12,667
"49","East Village","2014",1,747
"50","East Village","2014",2,763
"51","East Village","2014",3,872
"52","East Village","2014",4,918
"53","East Village","2014",5,1150
"54","East Village","2014",6,1279
"55","East Village","2014",7,1397
"56","East Village","2014",8,1338
"57","East Village","2014",9,1243
"58","East Village","2014",10,1179
"59","East Village","2014",11,1090
"60","East Village","2014",12,1088
"61","East Village","2015",1,1169
"62","East Village","2015",2,978
"63","East Village","2015",3,1153
"64","East Village","2015",4,1329
"65","East Village","2015",5,1430
"66","East Village","2015",6,1698
"67","East Village","2015",7,1782
"68","East Village","2015",8,1456
"69","East Village","2015",9,1142
"70","East Village","2015",10,1089
"71","East Village","2015",11,1002
"72","East Village","2015",12,921
"73","East Village","2016",1,1020
"74","East Village","2016",2,1011
"75","East Village","2016",3,1126
"76","East Village","2016",4,1228
"77","East Village","2016",5,1371
"78","East Village","2016",6,1470
"79","East Village","2016",7,1558
"80","East Village","2016",8,1589
"81","East Village","2016",9,1296
"82","East Village","2016",10,1240
"83","East Village","2016",11,1099
"84","East Village","2016",12,986
"85","East Village","2017",1,1137
"86","East Village","2017",2,1077
"87","East Village","2017",3,1213
"88","East Village","2017",4,1398
"89","East Village","2017",5,1664
"90","East Village","2017",6,1899
"91","East Village","2017",7,1980
"92","East Village","2017",8,1681
"93","East Village","2017",9,1335
"94","East Village","2017",10,1154
"95","East Village","2017",11,891
"96","East Village","2017",12,860
"97","East Village","2018",1,878
"98","East Village","2018",2,842
"99","East Village","2018",3,976
"100","East Village","2018",4,1207
"101","East Village","2018",5,1502
"102","East Village","2018",6,1670
"103","East Village","2018",7,1832
"104","East Village","2018",8,1674
"105","East Village","2018",9,1203
"106","East Village","2018",10,1094
