"","areaName","year","month","units"
"1","Gramercy Park","2010",1,239
"2","Gramercy Park","2010",2,250
"3","Gramercy Park","2010",3,271
"4","Gramercy Park","2010",4,279
"5","Gramercy Park","2010",5,256
"6","Gramercy Park","2010",6,262
"7","Gramercy Park","2010",7,239
"8","Gramercy Park","2010",8,213
"9","Gramercy Park","2010",9,203
"10","Gramercy Park","2010",10,182
"11","Gramercy Park","2010",11,175
"12","Gramercy Park","2010",12,161
"13","Gramercy Park","2011",1,185
"14","Gramercy Park","2011",2,167
"15","Gramercy Park","2011",3,188
"16","Gramercy Park","2011",4,213
"17","Gramercy Park","2011",5,190
"18","Gramercy Park","2011",6,219
"19","Gramercy Park","2011",7,230
"20","Gramercy Park","2011",8,199
"21","Gramercy Park","2011",9,182
"22","Gramercy Park","2011",10,168
"23","Gramercy Park","2011",11,164
"24","Gramercy Park","2011",12,182
"25","Gramercy Park","2012",1,199
"26","Gramercy Park","2012",2,200
"27","Gramercy Park","2012",3,209
"28","Gramercy Park","2012",4,262
"29","Gramercy Park","2012",5,299
"30","Gramercy Park","2012",6,279
"31","Gramercy Park","2012",7,324
"32","Gramercy Park","2012",8,321
"33","Gramercy Park","2012",9,270
"34","Gramercy Park","2012",10,226
"35","Gramercy Park","2012",11,224
"36","Gramercy Park","2012",12,234
"37","Gramercy Park","2013",1,266
"38","Gramercy Park","2013",2,270
"39","Gramercy Park","2013",3,279
"40","Gramercy Park","2013",4,316
"41","Gramercy Park","2013",5,356
"42","Gramercy Park","2013",6,313
"43","Gramercy Park","2013",7,383
"44","Gramercy Park","2013",8,366
"45","Gramercy Park","2013",9,296
"46","Gramercy Park","2013",10,284
"47","Gramercy Park","2013",11,269
"48","Gramercy Park","2013",12,272
"49","Gramercy Park","2014",1,309
"50","Gramercy Park","2014",2,308
"51","Gramercy Park","2014",3,334
"52","Gramercy Park","2014",4,336
"53","Gramercy Park","2014",5,356
"54","Gramercy Park","2014",6,379
"55","Gramercy Park","2014",7,416
"56","Gramercy Park","2014",8,372
"57","Gramercy Park","2014",9,336
"58","Gramercy Park","2014",10,348
"59","Gramercy Park","2014",11,333
"60","Gramercy Park","2014",12,288
"61","Gramercy Park","2015",1,306
"62","Gramercy Park","2015",2,321
"63","Gramercy Park","2015",3,386
"64","Gramercy Park","2015",4,417
"65","Gramercy Park","2015",5,460
"66","Gramercy Park","2015",6,461
"67","Gramercy Park","2015",7,475
"68","Gramercy Park","2015",8,443
"69","Gramercy Park","2015",9,372
"70","Gramercy Park","2015",10,334
"71","Gramercy Park","2015",11,309
"72","Gramercy Park","2015",12,306
"73","Gramercy Park","2016",1,305
"74","Gramercy Park","2016",2,341
"75","Gramercy Park","2016",3,356
"76","Gramercy Park","2016",4,395
"77","Gramercy Park","2016",5,419
"78","Gramercy Park","2016",6,493
"79","Gramercy Park","2016",7,509
"80","Gramercy Park","2016",8,561
"81","Gramercy Park","2016",9,458
"82","Gramercy Park","2016",10,436
"83","Gramercy Park","2016",11,444
"84","Gramercy Park","2016",12,424
"85","Gramercy Park","2017",1,419
"86","Gramercy Park","2017",2,424
"87","Gramercy Park","2017",3,463
"88","Gramercy Park","2017",4,499
"89","Gramercy Park","2017",5,535
"90","Gramercy Park","2017",6,562
"91","Gramercy Park","2017",7,565
"92","Gramercy Park","2017",8,464
"93","Gramercy Park","2017",9,386
"94","Gramercy Park","2017",10,390
"95","Gramercy Park","2017",11,318
"96","Gramercy Park","2017",12,308
"97","Gramercy Park","2018",1,318
"98","Gramercy Park","2018",2,311
"99","Gramercy Park","2018",3,344
"100","Gramercy Park","2018",4,400
"101","Gramercy Park","2018",5,462
"102","Gramercy Park","2018",6,484
"103","Gramercy Park","2018",7,511
"104","Gramercy Park","2018",8,455
"105","Gramercy Park","2018",9,376
"106","Gramercy Park","2018",10,355
