"","areaName","year","month","asking_price"
"1","Gramercy Park","2010",1,3100
"2","Gramercy Park","2010",2,3000
"3","Gramercy Park","2010",3,2995
"4","Gramercy Park","2010",4,3100
"5","Gramercy Park","2010",5,2995
"6","Gramercy Park","2010",6,2950
"7","Gramercy Park","2010",7,2900
"8","Gramercy Park","2010",8,3100
"9","Gramercy Park","2010",9,3200
"10","Gramercy Park","2010",10,3200
"11","Gramercy Park","2010",11,3450
"12","Gramercy Park","2010",12,3355
"13","Gramercy Park","2011",1,3195
"14","Gramercy Park","2011",2,3200
"15","Gramercy Park","2011",3,3100
"16","Gramercy Park","2011",4,3000
"17","Gramercy Park","2011",5,3050
"18","Gramercy Park","2011",6,3099
"19","Gramercy Park","2011",7,2950
"20","Gramercy Park","2011",8,2995
"21","Gramercy Park","2011",9,3450
"22","Gramercy Park","2011",10,3548
"23","Gramercy Park","2011",11,3500
"24","Gramercy Park","2011",12,3398
"25","Gramercy Park","2012",1,3495
"26","Gramercy Park","2012",2,3250
"27","Gramercy Park","2012",3,3250
"28","Gramercy Park","2012",4,3200
"29","Gramercy Park","2012",5,3395
"30","Gramercy Park","2012",6,3300
"31","Gramercy Park","2012",7,3273
"32","Gramercy Park","2012",8,3300
"33","Gramercy Park","2012",9,3425
"34","Gramercy Park","2012",10,3500
"35","Gramercy Park","2012",11,3500
"36","Gramercy Park","2012",12,3500
"37","Gramercy Park","2013",1,3295
"38","Gramercy Park","2013",2,3395
"39","Gramercy Park","2013",3,3500
"40","Gramercy Park","2013",4,3363
"41","Gramercy Park","2013",5,3498
"42","Gramercy Park","2013",6,3250
"43","Gramercy Park","2013",7,3395
"44","Gramercy Park","2013",8,3495
"45","Gramercy Park","2013",9,3500
"46","Gramercy Park","2013",10,3400
"47","Gramercy Park","2013",11,3500
"48","Gramercy Park","2013",12,3500
"49","Gramercy Park","2014",1,3495
"50","Gramercy Park","2014",2,3300
"51","Gramercy Park","2014",3,3385
"52","Gramercy Park","2014",4,3400
"53","Gramercy Park","2014",5,3355
"54","Gramercy Park","2014",6,3300
"55","Gramercy Park","2014",7,3325
"56","Gramercy Park","2014",8,3350
"57","Gramercy Park","2014",9,3350
"58","Gramercy Park","2014",10,3250
"59","Gramercy Park","2014",11,3395
"60","Gramercy Park","2014",12,3498
"61","Gramercy Park","2015",1,3550
"62","Gramercy Park","2015",2,3500
"63","Gramercy Park","2015",3,3300
"64","Gramercy Park","2015",4,3500
"65","Gramercy Park","2015",5,3500
"66","Gramercy Park","2015",6,3500
"67","Gramercy Park","2015",7,3500
"68","Gramercy Park","2015",8,3595
"69","Gramercy Park","2015",9,3750
"70","Gramercy Park","2015",10,3500
"71","Gramercy Park","2015",11,3500
"72","Gramercy Park","2015",12,3625
"73","Gramercy Park","2016",1,3690
"74","Gramercy Park","2016",2,3690
"75","Gramercy Park","2016",3,3650
"76","Gramercy Park","2016",4,3695
"77","Gramercy Park","2016",5,3800
"78","Gramercy Park","2016",6,3650
"79","Gramercy Park","2016",7,3600
"80","Gramercy Park","2016",8,3599
"81","Gramercy Park","2016",9,3500
"82","Gramercy Park","2016",10,3300
"83","Gramercy Park","2016",11,3297
"84","Gramercy Park","2016",12,3395
"85","Gramercy Park","2017",1,3460
"86","Gramercy Park","2017",2,3500
"87","Gramercy Park","2017",3,3500
"88","Gramercy Park","2017",4,3595
"89","Gramercy Park","2017",5,3600
"90","Gramercy Park","2017",6,3500
"91","Gramercy Park","2017",7,3495
"92","Gramercy Park","2017",8,3465
"93","Gramercy Park","2017",9,3450
"94","Gramercy Park","2017",10,3300
"95","Gramercy Park","2017",11,3200
"96","Gramercy Park","2017",12,3275
"97","Gramercy Park","2018",1,3400
"98","Gramercy Park","2018",2,3500
"99","Gramercy Park","2018",3,3500
"100","Gramercy Park","2018",4,3450
"101","Gramercy Park","2018",5,3625
"102","Gramercy Park","2018",6,3500
"103","Gramercy Park","2018",7,3590
"104","Gramercy Park","2018",8,3541
"105","Gramercy Park","2018",9,3595
"106","Gramercy Park","2018",10,3500
