"","areaName","year","month","units"
"1","Lower East Side","2010",1,233
"2","Lower East Side","2010",2,294
"3","Lower East Side","2010",3,285
"4","Lower East Side","2010",4,276
"5","Lower East Side","2010",5,248
"6","Lower East Side","2010",6,262
"7","Lower East Side","2010",7,232
"8","Lower East Side","2010",8,224
"9","Lower East Side","2010",9,164
"10","Lower East Side","2010",10,164
"11","Lower East Side","2010",11,132
"12","Lower East Side","2010",12,115
"13","Lower East Side","2011",1,126
"14","Lower East Side","2011",2,128
"15","Lower East Side","2011",3,171
"16","Lower East Side","2011",4,235
"17","Lower East Side","2011",5,330
"18","Lower East Side","2011",6,360
"19","Lower East Side","2011",7,371
"20","Lower East Side","2011",8,363
"21","Lower East Side","2011",9,268
"22","Lower East Side","2011",10,213
"23","Lower East Side","2011",11,253
"24","Lower East Side","2011",12,287
"25","Lower East Side","2012",1,337
"26","Lower East Side","2012",2,316
"27","Lower East Side","2012",3,203
"28","Lower East Side","2012",4,223
"29","Lower East Side","2012",5,289
"30","Lower East Side","2012",6,301
"31","Lower East Side","2012",7,292
"32","Lower East Side","2012",8,289
"33","Lower East Side","2012",9,240
"34","Lower East Side","2012",10,246
"35","Lower East Side","2012",11,221
"36","Lower East Side","2012",12,218
"37","Lower East Side","2013",1,286
"38","Lower East Side","2013",2,292
"39","Lower East Side","2013",3,303
"40","Lower East Side","2013",4,367
"41","Lower East Side","2013",5,387
"42","Lower East Side","2013",6,368
"43","Lower East Side","2013",7,425
"44","Lower East Side","2013",8,398
"45","Lower East Side","2013",9,321
"46","Lower East Side","2013",10,343
"47","Lower East Side","2013",11,307
"48","Lower East Side","2013",12,298
"49","Lower East Side","2014",1,304
"50","Lower East Side","2014",2,317
"51","Lower East Side","2014",3,352
"52","Lower East Side","2014",4,368
"53","Lower East Side","2014",5,440
"54","Lower East Side","2014",6,467
"55","Lower East Side","2014",7,518
"56","Lower East Side","2014",8,564
"57","Lower East Side","2014",9,530
"58","Lower East Side","2014",10,449
"59","Lower East Side","2014",11,402
"60","Lower East Side","2014",12,364
"61","Lower East Side","2015",1,383
"62","Lower East Side","2015",2,371
"63","Lower East Side","2015",3,466
"64","Lower East Side","2015",4,461
"65","Lower East Side","2015",5,449
"66","Lower East Side","2015",6,533
"67","Lower East Side","2015",7,509
"68","Lower East Side","2015",8,510
"69","Lower East Side","2015",9,459
"70","Lower East Side","2015",10,448
"71","Lower East Side","2015",11,411
"72","Lower East Side","2015",12,403
"73","Lower East Side","2016",1,448
"74","Lower East Side","2016",2,458
"75","Lower East Side","2016",3,483
"76","Lower East Side","2016",4,517
"77","Lower East Side","2016",5,547
"78","Lower East Side","2016",6,546
"79","Lower East Side","2016",7,592
"80","Lower East Side","2016",8,611
"81","Lower East Side","2016",9,539
"82","Lower East Side","2016",10,519
"83","Lower East Side","2016",11,514
"84","Lower East Side","2016",12,478
"85","Lower East Side","2017",1,512
"86","Lower East Side","2017",2,485
"87","Lower East Side","2017",3,593
"88","Lower East Side","2017",4,656
"89","Lower East Side","2017",5,770
"90","Lower East Side","2017",6,780
"91","Lower East Side","2017",7,754
"92","Lower East Side","2017",8,594
"93","Lower East Side","2017",9,519
"94","Lower East Side","2017",10,503
"95","Lower East Side","2017",11,432
"96","Lower East Side","2017",12,371
"97","Lower East Side","2018",1,404
"98","Lower East Side","2018",2,403
"99","Lower East Side","2018",3,532
"100","Lower East Side","2018",4,631
"101","Lower East Side","2018",5,660
"102","Lower East Side","2018",6,683
"103","Lower East Side","2018",7,747
"104","Lower East Side","2018",8,724
"105","Lower East Side","2018",9,542
"106","Lower East Side","2018",10,483
