"","areaName","year","month","asking_price"
"1","Lower East Side","2010",1,2295
"2","Lower East Side","2010",2,2250
"3","Lower East Side","2010",3,2295
"4","Lower East Side","2010",4,2250
"5","Lower East Side","2010",5,2495
"6","Lower East Side","2010",6,2400
"7","Lower East Side","2010",7,2400
"8","Lower East Side","2010",8,2500
"9","Lower East Side","2010",9,2598
"10","Lower East Side","2010",10,2500
"11","Lower East Side","2010",11,2500
"12","Lower East Side","2010",12,2600
"13","Lower East Side","2011",1,2500
"14","Lower East Side","2011",2,2500
"15","Lower East Side","2011",3,2400
"16","Lower East Side","2011",4,2395
"17","Lower East Side","2011",5,2395
"18","Lower East Side","2011",6,2400
"19","Lower East Side","2011",7,2495
"20","Lower East Side","2011",8,2595
"21","Lower East Side","2011",9,2700
"22","Lower East Side","2011",10,2700
"23","Lower East Side","2011",11,2695
"24","Lower East Side","2011",12,2300
"25","Lower East Side","2012",1,2450
"26","Lower East Side","2012",2,2650
"27","Lower East Side","2012",3,2800
"28","Lower East Side","2012",4,2995
"29","Lower East Side","2012",5,2795
"30","Lower East Side","2012",6,2750
"31","Lower East Side","2012",7,2695
"32","Lower East Side","2012",8,2700
"33","Lower East Side","2012",9,2800
"34","Lower East Side","2012",10,2750
"35","Lower East Side","2012",11,2850
"36","Lower East Side","2012",12,2998
"37","Lower East Side","2013",1,2873
"38","Lower East Side","2013",2,2993
"39","Lower East Side","2013",3,2899
"40","Lower East Side","2013",4,2895
"41","Lower East Side","2013",5,2845
"42","Lower East Side","2013",6,2825
"43","Lower East Side","2013",7,2795
"44","Lower East Side","2013",8,2795
"45","Lower East Side","2013",9,2900
"46","Lower East Side","2013",10,2850
"47","Lower East Side","2013",11,2795
"48","Lower East Side","2013",12,2800
"49","Lower East Side","2014",1,2846
"50","Lower East Side","2014",2,2750
"51","Lower East Side","2014",3,2798
"52","Lower East Side","2014",4,2795
"53","Lower East Side","2014",5,2798
"54","Lower East Side","2014",6,2950
"55","Lower East Side","2014",7,2950
"56","Lower East Side","2014",8,3000
"57","Lower East Side","2014",9,3000
"58","Lower East Side","2014",10,2995
"59","Lower East Side","2014",11,2995
"60","Lower East Side","2014",12,3000
"61","Lower East Side","2015",1,3000
"62","Lower East Side","2015",2,2995
"63","Lower East Side","2015",3,2848
"64","Lower East Side","2015",4,2895
"65","Lower East Side","2015",5,2995
"66","Lower East Side","2015",6,3100
"67","Lower East Side","2015",7,3150
"68","Lower East Side","2015",8,3197
"69","Lower East Side","2015",9,3250
"70","Lower East Side","2015",10,3000
"71","Lower East Side","2015",11,3000
"72","Lower East Side","2015",12,3000
"73","Lower East Side","2016",1,3000
"74","Lower East Side","2016",2,3000
"75","Lower East Side","2016",3,2995
"76","Lower East Side","2016",4,3100
"77","Lower East Side","2016",5,3200
"78","Lower East Side","2016",6,3325
"79","Lower East Side","2016",7,3297
"80","Lower East Side","2016",8,3300
"81","Lower East Side","2016",9,3295
"82","Lower East Side","2016",10,3100
"83","Lower East Side","2016",11,3098
"84","Lower East Side","2016",12,2900
"85","Lower East Side","2017",1,2895
"86","Lower East Side","2017",2,3100
"87","Lower East Side","2017",3,3000
"88","Lower East Side","2017",4,3000
"89","Lower East Side","2017",5,3200
"90","Lower East Side","2017",6,3156
"91","Lower East Side","2017",7,3200
"92","Lower East Side","2017",8,3197
"93","Lower East Side","2017",9,3099
"94","Lower East Side","2017",10,3000
"95","Lower East Side","2017",11,2995
"96","Lower East Side","2017",12,2950
"97","Lower East Side","2018",1,2995
"98","Lower East Side","2018",2,2950
"99","Lower East Side","2018",3,3030
"100","Lower East Side","2018",4,3200
"101","Lower East Side","2018",5,3250
"102","Lower East Side","2018",6,3200
"103","Lower East Side","2018",7,3250
"104","Lower East Side","2018",8,3348
"105","Lower East Side","2018",9,3323
"106","Lower East Side","2018",10,3345
