"","areaName","year","month","units"
"1","All Midtown","2010","01",3118
"2","All Midtown","2010","02",3269
"3","All Midtown","2010","03",3289
"4","All Midtown","2010","04",3452
"5","All Midtown","2010","05",3161
"6","All Midtown","2010","06",3148
"7","All Midtown","2010","07",3066
"8","All Midtown","2010","08",2939
"9","All Midtown","2010","09",2608
"10","All Midtown","2010","10",2539
"11","All Midtown","2010","11",2418
"12","All Midtown","2010","12",2369
"13","All Midtown","2011","01",2393
"14","All Midtown","2011","02",2441
"15","All Midtown","2011","03",2597
"16","All Midtown","2011","04",2649
"17","All Midtown","2011","05",2853
"18","All Midtown","2011","06",2849
"19","All Midtown","2011","07",2663
"20","All Midtown","2011","08",2805
"21","All Midtown","2011","09",2652
"22","All Midtown","2011","10",2567
"23","All Midtown","2011","11",2538
"24","All Midtown","2011","12",2377
"25","All Midtown","2012","01",2583
"26","All Midtown","2012","02",2748
"27","All Midtown","2012","03",2908
"28","All Midtown","2012","04",2879
"29","All Midtown","2012","05",2959
"30","All Midtown","2012","06",3107
"31","All Midtown","2012","07",3281
"32","All Midtown","2012","08",3243
"33","All Midtown","2012","09",2959
"34","All Midtown","2012","10",2902
"35","All Midtown","2012","11",2862
"36","All Midtown","2012","12",2759
"37","All Midtown","2013","01",3050
"38","All Midtown","2013","02",3095
"39","All Midtown","2013","03",3365
"40","All Midtown","2013","04",3590
"41","All Midtown","2013","05",3681
"42","All Midtown","2013","06",3685
"43","All Midtown","2013","07",3976
"44","All Midtown","2013","08",3916
"45","All Midtown","2013","09",3613
"46","All Midtown","2013","10",3793
"47","All Midtown","2013","11",3564
"48","All Midtown","2013","12",3524
"49","All Midtown","2014","01",3788
"50","All Midtown","2014","02",3808
"51","All Midtown","2014","03",4154
"52","All Midtown","2014","04",4253
"53","All Midtown","2014","05",4402
"54","All Midtown","2014","06",4296
"55","All Midtown","2014","07",4658
"56","All Midtown","2014","08",4639
"57","All Midtown","2014","09",4422
"58","All Midtown","2014","10",4533
"59","All Midtown","2014","11",4161
"60","All Midtown","2014","12",4172
"61","All Midtown","2015","01",4359
"62","All Midtown","2015","02",4456
"63","All Midtown","2015","03",4679
"64","All Midtown","2015","04",4906
"65","All Midtown","2015","05",4795
"66","All Midtown","2015","06",5102
"67","All Midtown","2015","07",5173
"68","All Midtown","2015","08",5102
"69","All Midtown","2015","09",4815
"70","All Midtown","2015","10",4843
"71","All Midtown","2015","11",4597
"72","All Midtown","2015","12",4487
"73","All Midtown","2016","01",4696
"74","All Midtown","2016","02",4724
"75","All Midtown","2016","03",5029
"76","All Midtown","2016","04",5098
"77","All Midtown","2016","05",5321
"78","All Midtown","2016","06",5661
"79","All Midtown","2016","07",5630
"80","All Midtown","2016","08",5904
"81","All Midtown","2016","09",5355
"82","All Midtown","2016","10",5359
"83","All Midtown","2016","11",5231
"84","All Midtown","2016","12",4794
"85","All Midtown","2017","01",5267
"86","All Midtown","2017","02",5083
"87","All Midtown","2017","03",5600
"88","All Midtown","2017","04",5659
"89","All Midtown","2017","05",6142
"90","All Midtown","2017","06",6298
"91","All Midtown","2017","07",6103
"92","All Midtown","2017","08",5362
"93","All Midtown","2017","09",4892
"94","All Midtown","2017","10",5105
"95","All Midtown","2017","11",4358
"96","All Midtown","2017","12",4085
"97","All Midtown","2018","01",4178
"98","All Midtown","2018","02",4061
"99","All Midtown","2018","03",4351
"100","All Midtown","2018","04",4563
"101","All Midtown","2018","05",5007
"102","All Midtown","2018","06",4980
"103","All Midtown","2018","07",5077
"104","All Midtown","2018","08",5028
"105","All Midtown","2018","09",4390
"106","All Midtown","2018","10",4725
