"","areaName","year","month","units"
"1","Soho","2010",1,250
"2","Soho","2010",2,232
"3","Soho","2010",3,235
"4","Soho","2010",4,255
"5","Soho","2010",5,234
"6","Soho","2010",6,274
"7","Soho","2010",7,253
"8","Soho","2010",8,229
"9","Soho","2010",9,212
"10","Soho","2010",10,183
"11","Soho","2010",11,192
"12","Soho","2010",12,174
"13","Soho","2011",1,174
"14","Soho","2011",2,165
"15","Soho","2011",3,200
"16","Soho","2011",4,192
"17","Soho","2011",5,209
"18","Soho","2011",6,236
"19","Soho","2011",7,273
"20","Soho","2011",8,289
"21","Soho","2011",9,207
"22","Soho","2011",10,192
"23","Soho","2011",11,200
"24","Soho","2011",12,177
"25","Soho","2012",1,196
"26","Soho","2012",2,196
"27","Soho","2012",3,208
"28","Soho","2012",4,208
"29","Soho","2012",5,275
"30","Soho","2012",6,311
"31","Soho","2012",7,333
"32","Soho","2012",8,290
"33","Soho","2012",9,223
"34","Soho","2012",10,220
"35","Soho","2012",11,217
"36","Soho","2012",12,197
"37","Soho","2013",1,236
"38","Soho","2013",2,277
"39","Soho","2013",3,283
"40","Soho","2013",4,312
"41","Soho","2013",5,319
"42","Soho","2013",6,315
"43","Soho","2013",7,364
"44","Soho","2013",8,377
"45","Soho","2013",9,336
"46","Soho","2013",10,308
"47","Soho","2013",11,256
"48","Soho","2013",12,211
"49","Soho","2014",1,223
"50","Soho","2014",2,204
"51","Soho","2014",3,247
"52","Soho","2014",4,282
"53","Soho","2014",5,326
"54","Soho","2014",6,333
"55","Soho","2014",7,343
"56","Soho","2014",8,343
"57","Soho","2014",9,294
"58","Soho","2014",10,251
"59","Soho","2014",11,238
"60","Soho","2014",12,220
"61","Soho","2015",1,216
"62","Soho","2015",2,240
"63","Soho","2015",3,258
"64","Soho","2015",4,297
"65","Soho","2015",5,320
"66","Soho","2015",6,349
"67","Soho","2015",7,362
"68","Soho","2015",8,338
"69","Soho","2015",9,277
"70","Soho","2015",10,264
"71","Soho","2015",11,228
"72","Soho","2015",12,259
"73","Soho","2016",1,286
"74","Soho","2016",2,277
"75","Soho","2016",3,291
"76","Soho","2016",4,325
"77","Soho","2016",5,371
"78","Soho","2016",6,383
"79","Soho","2016",7,384
"80","Soho","2016",8,363
"81","Soho","2016",9,328
"82","Soho","2016",10,318
"83","Soho","2016",11,295
"84","Soho","2016",12,252
"85","Soho","2017",1,274
"86","Soho","2017",2,276
"87","Soho","2017",3,318
"88","Soho","2017",4,346
"89","Soho","2017",5,398
"90","Soho","2017",6,391
"91","Soho","2017",7,387
"92","Soho","2017",8,356
"93","Soho","2017",9,314
"94","Soho","2017",10,328
"95","Soho","2017",11,284
"96","Soho","2017",12,236
"97","Soho","2018",1,245
"98","Soho","2018",2,239
"99","Soho","2018",3,262
"100","Soho","2018",4,286
"101","Soho","2018",5,341
"102","Soho","2018",6,317
"103","Soho","2018",7,313
"104","Soho","2018",8,319
"105","Soho","2018",9,270
"106","Soho","2018",10,239
