"","areaName","year","month","asking_price"
"1","Soho","2010",1,5200
"2","Soho","2010",2,5288
"3","Soho","2010",3,5275
"4","Soho","2010",4,4950
"5","Soho","2010",5,4197
"6","Soho","2010",6,4000
"7","Soho","2010",7,4000
"8","Soho","2010",8,4000
"9","Soho","2010",9,5850
"10","Soho","2010",10,7000
"11","Soho","2010",11,7000
"12","Soho","2010",12,7100
"13","Soho","2011",1,5051
"14","Soho","2011",2,6250
"15","Soho","2011",3,5350
"16","Soho","2011",4,6000
"17","Soho","2011",5,6000
"18","Soho","2011",6,4650
"19","Soho","2011",7,4200
"20","Soho","2011",8,3850
"21","Soho","2011",9,5400
"22","Soho","2011",10,6515
"23","Soho","2011",11,5400
"24","Soho","2011",12,4950
"25","Soho","2012",1,5400
"26","Soho","2012",2,5200
"27","Soho","2012",3,5400
"28","Soho","2012",4,5400
"29","Soho","2012",5,5000
"30","Soho","2012",6,4100
"31","Soho","2012",7,3975
"32","Soho","2012",8,4417
"33","Soho","2012",9,4875
"34","Soho","2012",10,6000
"35","Soho","2012",11,5700
"36","Soho","2012",12,5500
"37","Soho","2013",1,5500
"38","Soho","2013",2,4495
"39","Soho","2013",3,4495
"40","Soho","2013",4,4995
"41","Soho","2013",5,4500
"42","Soho","2013",6,4495
"43","Soho","2013",7,3842
"44","Soho","2013",8,4125
"45","Soho","2013",9,4113
"46","Soho","2013",10,4048
"47","Soho","2013",11,4500
"48","Soho","2013",12,4750
"49","Soho","2014",1,4750
"50","Soho","2014",2,4400
"51","Soho","2014",3,4500
"52","Soho","2014",4,4500
"53","Soho","2014",5,4375
"54","Soho","2014",6,4000
"55","Soho","2014",7,3995
"56","Soho","2014",8,3850
"57","Soho","2014",9,4000
"58","Soho","2014",10,4600
"59","Soho","2014",11,4500
"60","Soho","2014",12,4100
"61","Soho","2015",1,4500
"62","Soho","2015",2,4500
"63","Soho","2015",3,4500
"64","Soho","2015",4,4750
"65","Soho","2015",5,4977
"66","Soho","2015",6,4600
"67","Soho","2015",7,4366
"68","Soho","2015",8,4500
"69","Soho","2015",9,5000
"70","Soho","2015",10,5500
"71","Soho","2015",11,5500
"72","Soho","2015",12,4990
"73","Soho","2016",1,4875
"74","Soho","2016",2,4188
"75","Soho","2016",3,4650
"76","Soho","2016",4,4900
"77","Soho","2016",5,4650
"78","Soho","2016",6,4650
"79","Soho","2016",7,4725
"80","Soho","2016",8,4500
"81","Soho","2016",9,5398
"82","Soho","2016",10,5500
"83","Soho","2016",11,5750
"84","Soho","2016",12,5161
"85","Soho","2017",1,4850
"86","Soho","2017",2,4795
"87","Soho","2017",3,4558
"88","Soho","2017",4,4700
"89","Soho","2017",5,4688
"90","Soho","2017",6,4500
"91","Soho","2017",7,5000
"92","Soho","2017",8,4849
"93","Soho","2017",9,4875
"94","Soho","2017",10,5200
"95","Soho","2017",11,5538
"96","Soho","2017",12,6497
"97","Soho","2018",1,5500
"98","Soho","2018",2,5999
"99","Soho","2018",3,5400
"100","Soho","2018",4,5000
"101","Soho","2018",5,4995
"102","Soho","2018",6,4500
"103","Soho","2018",7,4999
"104","Soho","2018",8,5500
"105","Soho","2018",9,5500
"106","Soho","2018",10,5300
