"","areaName","year","month","units"
"1","All Upper East Side","2010","01",2553
"2","All Upper East Side","2010","02",2655
"3","All Upper East Side","2010","03",2644
"4","All Upper East Side","2010","04",2592
"5","All Upper East Side","2010","05",2502
"6","All Upper East Side","2010","06",2673
"7","All Upper East Side","2010","07",2585
"8","All Upper East Side","2010","08",2560
"9","All Upper East Side","2010","09",2342
"10","All Upper East Side","2010","10",2381
"11","All Upper East Side","2010","11",2303
"12","All Upper East Side","2010","12",2406
"13","All Upper East Side","2011","01",2419
"14","All Upper East Side","2011","02",2285
"15","All Upper East Side","2011","03",2530
"16","All Upper East Side","2011","04",2335
"17","All Upper East Side","2011","05",2328
"18","All Upper East Side","2011","06",2397
"19","All Upper East Side","2011","07",2371
"20","All Upper East Side","2011","08",2349
"21","All Upper East Side","2011","09",2085
"22","All Upper East Side","2011","10",1980
"23","All Upper East Side","2011","11",1900
"24","All Upper East Side","2011","12",1747
"25","All Upper East Side","2012","01",1929
"26","All Upper East Side","2012","02",1961
"27","All Upper East Side","2012","03",2218
"28","All Upper East Side","2012","04",2270
"29","All Upper East Side","2012","05",2353
"30","All Upper East Side","2012","06",2538
"31","All Upper East Side","2012","07",2662
"32","All Upper East Side","2012","08",2621
"33","All Upper East Side","2012","09",2272
"34","All Upper East Side","2012","10",2287
"35","All Upper East Side","2012","11",2197
"36","All Upper East Side","2012","12",2071
"37","All Upper East Side","2013","01",2285
"38","All Upper East Side","2013","02",2160
"39","All Upper East Side","2013","03",2348
"40","All Upper East Side","2013","04",2657
"41","All Upper East Side","2013","05",2797
"42","All Upper East Side","2013","06",2805
"43","All Upper East Side","2013","07",3116
"44","All Upper East Side","2013","08",3281
"45","All Upper East Side","2013","09",2895
"46","All Upper East Side","2013","10",3087
"47","All Upper East Side","2013","11",2804
"48","All Upper East Side","2013","12",2649
"49","All Upper East Side","2014","01",2749
"50","All Upper East Side","2014","02",2870
"51","All Upper East Side","2014","03",2991
"52","All Upper East Side","2014","04",3095
"53","All Upper East Side","2014","05",3360
"54","All Upper East Side","2014","06",3378
"55","All Upper East Side","2014","07",3591
"56","All Upper East Side","2014","08",3440
"57","All Upper East Side","2014","09",3412
"58","All Upper East Side","2014","10",3274
"59","All Upper East Side","2014","11",2996
"60","All Upper East Side","2014","12",2770
"61","All Upper East Side","2015","01",2938
"62","All Upper East Side","2015","02",2828
"63","All Upper East Side","2015","03",3165
"64","All Upper East Side","2015","04",3301
"65","All Upper East Side","2015","05",3491
"66","All Upper East Side","2015","06",3676
"67","All Upper East Side","2015","07",3732
"68","All Upper East Side","2015","08",3607
"69","All Upper East Side","2015","09",3356
"70","All Upper East Side","2015","10",3445
"71","All Upper East Side","2015","11",3219
"72","All Upper East Side","2015","12",2935
"73","All Upper East Side","2016","01",3108
"74","All Upper East Side","2016","02",3131
"75","All Upper East Side","2016","03",3424
"76","All Upper East Side","2016","04",3562
"77","All Upper East Side","2016","05",3885
"78","All Upper East Side","2016","06",4121
"79","All Upper East Side","2016","07",4167
"80","All Upper East Side","2016","08",4154
"81","All Upper East Side","2016","09",3883
"82","All Upper East Side","2016","10",3746
"83","All Upper East Side","2016","11",3504
"84","All Upper East Side","2016","12",3172
"85","All Upper East Side","2017","01",3395
"86","All Upper East Side","2017","02",3216
"87","All Upper East Side","2017","03",3432
"88","All Upper East Side","2017","04",3421
"89","All Upper East Side","2017","05",3741
"90","All Upper East Side","2017","06",3943
"91","All Upper East Side","2017","07",3847
"92","All Upper East Side","2017","08",3320
"93","All Upper East Side","2017","09",3136
"94","All Upper East Side","2017","10",3221
"95","All Upper East Side","2017","11",2876
"96","All Upper East Side","2017","12",2541
"97","All Upper East Side","2018","01",2764
"98","All Upper East Side","2018","02",2694
"99","All Upper East Side","2018","03",2873
"100","All Upper East Side","2018","04",3044
"101","All Upper East Side","2018","05",3327
"102","All Upper East Side","2018","06",3507
"103","All Upper East Side","2018","07",3528
"104","All Upper East Side","2018","08",3437
"105","All Upper East Side","2018","09",2946
"106","All Upper East Side","2018","10",3006
