"","areaName","year","month","units"
"1","All Upper Manhattan","2010","01",846
"2","All Upper Manhattan","2010","02",843
"3","All Upper Manhattan","2010","03",813
"4","All Upper Manhattan","2010","04",738
"5","All Upper Manhattan","2010","05",707
"6","All Upper Manhattan","2010","06",770
"7","All Upper Manhattan","2010","07",754
"8","All Upper Manhattan","2010","08",701
"9","All Upper Manhattan","2010","09",606
"10","All Upper Manhattan","2010","10",624
"11","All Upper Manhattan","2010","11",598
"12","All Upper Manhattan","2010","12",585
"13","All Upper Manhattan","2011","01",612
"14","All Upper Manhattan","2011","02",618
"15","All Upper Manhattan","2011","03",660
"16","All Upper Manhattan","2011","04",687
"17","All Upper Manhattan","2011","05",774
"18","All Upper Manhattan","2011","06",755
"19","All Upper Manhattan","2011","07",732
"20","All Upper Manhattan","2011","08",773
"21","All Upper Manhattan","2011","09",707
"22","All Upper Manhattan","2011","10",710
"23","All Upper Manhattan","2011","11",702
"24","All Upper Manhattan","2011","12",688
"25","All Upper Manhattan","2012","01",792
"26","All Upper Manhattan","2012","02",873
"27","All Upper Manhattan","2012","03",926
"28","All Upper Manhattan","2012","04",955
"29","All Upper Manhattan","2012","05",1050
"30","All Upper Manhattan","2012","06",1130
"31","All Upper Manhattan","2012","07",1265
"32","All Upper Manhattan","2012","08",1301
"33","All Upper Manhattan","2012","09",1128
"34","All Upper Manhattan","2012","10",1202
"35","All Upper Manhattan","2012","11",1139
"36","All Upper Manhattan","2012","12",1170
"37","All Upper Manhattan","2013","01",1290
"38","All Upper Manhattan","2013","02",1223
"39","All Upper Manhattan","2013","03",1277
"40","All Upper Manhattan","2013","04",1513
"41","All Upper Manhattan","2013","05",1690
"42","All Upper Manhattan","2013","06",1741
"43","All Upper Manhattan","2013","07",1738
"44","All Upper Manhattan","2013","08",1604
"45","All Upper Manhattan","2013","09",1446
"46","All Upper Manhattan","2013","10",1593
"47","All Upper Manhattan","2013","11",1596
"48","All Upper Manhattan","2013","12",1542
"49","All Upper Manhattan","2014","01",1724
"50","All Upper Manhattan","2014","02",1735
"51","All Upper Manhattan","2014","03",1871
"52","All Upper Manhattan","2014","04",1996
"53","All Upper Manhattan","2014","05",2251
"54","All Upper Manhattan","2014","06",2269
"55","All Upper Manhattan","2014","07",2615
"56","All Upper Manhattan","2014","08",2646
"57","All Upper Manhattan","2014","09",2450
"58","All Upper Manhattan","2014","10",2547
"59","All Upper Manhattan","2014","11",2461
"60","All Upper Manhattan","2014","12",2467
"61","All Upper Manhattan","2015","01",2683
"62","All Upper Manhattan","2015","02",2614
"63","All Upper Manhattan","2015","03",2786
"64","All Upper Manhattan","2015","04",2814
"65","All Upper Manhattan","2015","05",2761
"66","All Upper Manhattan","2015","06",2893
"67","All Upper Manhattan","2015","07",3205
"68","All Upper Manhattan","2015","08",3009
"69","All Upper Manhattan","2015","09",2767
"70","All Upper Manhattan","2015","10",2687
"71","All Upper Manhattan","2015","11",2716
"72","All Upper Manhattan","2015","12",2623
"73","All Upper Manhattan","2016","01",2626
"74","All Upper Manhattan","2016","02",2660
"75","All Upper Manhattan","2016","03",2737
"76","All Upper Manhattan","2016","04",2810
"77","All Upper Manhattan","2016","05",3050
"78","All Upper Manhattan","2016","06",3327
"79","All Upper Manhattan","2016","07",3493
"80","All Upper Manhattan","2016","08",3588
"81","All Upper Manhattan","2016","09",3193
"82","All Upper Manhattan","2016","10",3047
"83","All Upper Manhattan","2016","11",3119
"84","All Upper Manhattan","2016","12",2940
"85","All Upper Manhattan","2017","01",3177
"86","All Upper Manhattan","2017","02",3092
"87","All Upper Manhattan","2017","03",3240
"88","All Upper Manhattan","2017","04",3100
"89","All Upper Manhattan","2017","05",3505
"90","All Upper Manhattan","2017","06",3890
"91","All Upper Manhattan","2017","07",3921
"92","All Upper Manhattan","2017","08",2979
"93","All Upper Manhattan","2017","09",2687
"94","All Upper Manhattan","2017","10",2755
"95","All Upper Manhattan","2017","11",2357
"96","All Upper Manhattan","2017","12",2005
"97","All Upper Manhattan","2018","01",2200
"98","All Upper Manhattan","2018","02",2232
"99","All Upper Manhattan","2018","03",2447
"100","All Upper Manhattan","2018","04",2615
"101","All Upper Manhattan","2018","05",2930
"102","All Upper Manhattan","2018","06",3101
"103","All Upper Manhattan","2018","07",3415
"104","All Upper Manhattan","2018","08",3374
"105","All Upper Manhattan","2018","09",2949
"106","All Upper Manhattan","2018","10",3268
