"","areaName","year","month","asking_price"
"1","West Village","2010",1,3265
"2","West Village","2010",2,3395
"3","West Village","2010",3,3113
"4","West Village","2010",4,3250
"5","West Village","2010",5,3073
"6","West Village","2010",6,3138
"7","West Village","2010",7,3195
"8","West Village","2010",8,2963
"9","West Village","2010",9,3300
"10","West Village","2010",10,3300
"11","West Village","2010",11,3100
"12","West Village","2010",12,3300
"13","West Village","2011",1,3348
"14","West Village","2011",2,3400
"15","West Village","2011",3,3200
"16","West Village","2011",4,3450
"17","West Village","2011",5,3400
"18","West Village","2011",6,3495
"19","West Village","2011",7,3450
"20","West Village","2011",8,3500
"21","West Village","2011",9,3400
"22","West Village","2011",10,3300
"23","West Village","2011",11,3300
"24","West Village","2011",12,3300
"25","West Village","2012",1,3300
"26","West Village","2012",2,3400
"27","West Village","2012",3,3495
"28","West Village","2012",4,3495
"29","West Village","2012",5,3500
"30","West Village","2012",6,3400
"31","West Village","2012",7,3495
"32","West Village","2012",8,3495
"33","West Village","2012",9,3495
"34","West Village","2012",10,3500
"35","West Village","2012",11,3495
"36","West Village","2012",12,3600
"37","West Village","2013",1,3500
"38","West Village","2013",2,3350
"39","West Village","2013",3,3400
"40","West Village","2013",4,3495
"41","West Village","2013",5,3650
"42","West Village","2013",6,3650
"43","West Village","2013",7,3525
"44","West Village","2013",8,3550
"45","West Village","2013",9,3600
"46","West Village","2013",10,3600
"47","West Village","2013",11,3500
"48","West Village","2013",12,3650
"49","West Village","2014",1,3550
"50","West Village","2014",2,3630
"51","West Village","2014",3,3595
"52","West Village","2014",4,3666
"53","West Village","2014",5,3650
"54","West Village","2014",6,3598
"55","West Village","2014",7,3600
"56","West Village","2014",8,3600
"57","West Village","2014",9,3666
"58","West Village","2014",10,3625
"59","West Village","2014",11,3600
"60","West Village","2014",12,3633
"61","West Village","2015",1,3750
"62","West Village","2015",2,3700
"63","West Village","2015",3,3650
"64","West Village","2015",4,3600
"65","West Village","2015",5,3750
"66","West Village","2015",6,3745
"67","West Village","2015",7,3695
"68","West Village","2015",8,3750
"69","West Village","2015",9,3750
"70","West Village","2015",10,3850
"71","West Village","2015",11,3750
"72","West Village","2015",12,3860
"73","West Village","2016",1,3800
"74","West Village","2016",2,3830
"75","West Village","2016",3,3810
"76","West Village","2016",4,3895
"77","West Village","2016",5,3900
"78","West Village","2016",6,3950
"79","West Village","2016",7,3950
"80","West Village","2016",8,3895
"81","West Village","2016",9,3750
"82","West Village","2016",10,3658
"83","West Village","2016",11,3595
"84","West Village","2016",12,3550
"85","West Village","2017",1,3570
"86","West Village","2017",2,3597
"87","West Village","2017",3,3600
"88","West Village","2017",4,3690
"89","West Village","2017",5,3800
"90","West Village","2017",6,3804
"91","West Village","2017",7,3850
"92","West Village","2017",8,3800
"93","West Village","2017",9,3695
"94","West Village","2017",10,3582
"95","West Village","2017",11,3495
"96","West Village","2017",12,3500
"97","West Village","2018",1,3600
"98","West Village","2018",2,3666
"99","West Village","2018",3,3750
"100","West Village","2018",4,3798
"101","West Village","2018",5,3855
"102","West Village","2018",6,3850
"103","West Village","2018",7,3850
"104","West Village","2018",8,3975
"105","West Village","2018",9,3963
"106","West Village","2018",10,3900
