"","areaName","year","month","units"
"1","West Village","2010",1,514
"2","West Village","2010",2,560
"3","West Village","2010",3,524
"4","West Village","2010",4,584
"5","West Village","2010",5,572
"6","West Village","2010",6,572
"7","West Village","2010",7,511
"8","West Village","2010",8,504
"9","West Village","2010",9,356
"10","West Village","2010",10,340
"11","West Village","2010",11,333
"12","West Village","2010",12,335
"13","West Village","2011",1,404
"14","West Village","2011",2,399
"15","West Village","2011",3,416
"16","West Village","2011",4,398
"17","West Village","2011",5,418
"18","West Village","2011",6,468
"19","West Village","2011",7,473
"20","West Village","2011",8,456
"21","West Village","2011",9,413
"22","West Village","2011",10,365
"23","West Village","2011",11,343
"24","West Village","2011",12,338
"25","West Village","2012",1,403
"26","West Village","2012",2,412
"27","West Village","2012",3,494
"28","West Village","2012",4,517
"29","West Village","2012",5,574
"30","West Village","2012",6,552
"31","West Village","2012",7,659
"32","West Village","2012",8,602
"33","West Village","2012",9,529
"34","West Village","2012",10,483
"35","West Village","2012",11,500
"36","West Village","2012",12,449
"37","West Village","2013",1,503
"38","West Village","2013",2,500
"39","West Village","2013",3,567
"40","West Village","2013",4,641
"41","West Village","2013",5,659
"42","West Village","2013",6,661
"43","West Village","2013",7,715
"44","West Village","2013",8,681
"45","West Village","2013",9,603
"46","West Village","2013",10,587
"47","West Village","2013",11,522
"48","West Village","2013",12,508
"49","West Village","2014",1,566
"50","West Village","2014",2,559
"51","West Village","2014",3,677
"52","West Village","2014",4,698
"53","West Village","2014",5,799
"54","West Village","2014",6,800
"55","West Village","2014",7,776
"56","West Village","2014",8,759
"57","West Village","2014",9,701
"58","West Village","2014",10,670
"59","West Village","2014",11,576
"60","West Village","2014",12,556
"61","West Village","2015",1,570
"62","West Village","2015",2,614
"63","West Village","2015",3,707
"64","West Village","2015",4,726
"65","West Village","2015",5,766
"66","West Village","2015",6,824
"67","West Village","2015",7,788
"68","West Village","2015",8,749
"69","West Village","2015",9,671
"70","West Village","2015",10,641
"71","West Village","2015",11,611
"72","West Village","2015",12,600
"73","West Village","2016",1,656
"74","West Village","2016",2,692
"75","West Village","2016",3,731
"76","West Village","2016",4,776
"77","West Village","2016",5,810
"78","West Village","2016",6,812
"79","West Village","2016",7,811
"80","West Village","2016",8,842
"81","West Village","2016",9,769
"82","West Village","2016",10,720
"83","West Village","2016",11,721
"84","West Village","2016",12,647
"85","West Village","2017",1,694
"86","West Village","2017",2,658
"87","West Village","2017",3,762
"88","West Village","2017",4,799
"89","West Village","2017",5,837
"90","West Village","2017",6,907
"91","West Village","2017",7,923
"92","West Village","2017",8,815
"93","West Village","2017",9,715
"94","West Village","2017",10,660
"95","West Village","2017",11,583
"96","West Village","2017",12,483
"97","West Village","2018",1,585
"98","West Village","2018",2,587
"99","West Village","2018",3,575
"100","West Village","2018",4,694
"101","West Village","2018",5,788
"102","West Village","2018",6,803
"103","West Village","2018",7,824
"104","West Village","2018",8,766
"105","West Village","2018",9,556
"106","West Village","2018",10,532
